iso3,GID_1,GID_2,area,population,pop_density_sqkm
ZWE,ZWE.4_1,ZWE.4.2_1,4435.420097943228,138159,31.149022403552358
ZWE,ZWE.4_1,ZWE.4.3_1,8082.6391978680895,230566,28.526078469618568
ZWE,ZWE.4_1,ZWE.4.4_1,4672.063854562269,276311,59.14110093554959
ZWE,ZWE.4_1,ZWE.4.5_1,4695.552465864625,238495,50.791680368560044
ZWE,ZWE.4_1,ZWE.4.6_1,2407.158598873609,82683,34.34879614442113
ZWE,ZWE.4_1,ZWE.4.7_1,2857.5174697064353,138821,48.58098033404557
ZWE,ZWE.5_1,ZWE.5.1_1,6984.899268675383,139477,19.968362410822632
ZWE,ZWE.5_1,ZWE.5.2_1,2606.722844243735,343158,131.64345444617354
ZWE,ZWE.5_1,ZWE.5.3_1,3737.874345981259,207285,55.45531519080104
ZWE,ZWE.5_1,ZWE.5.4_1,4316.758265402992,153668,35.59800909668364
ZWE,ZWE.5_1,ZWE.5.5_1,3647.96604527956,229841,63.00524652563926
ZWE,ZWE.5_1,ZWE.5.6_1,4232.111470269023,168704,39.862844158326475
ZWE,ZWE.5_1,ZWE.5.7_1,2689.2159880938793,113145,42.073600819321825
ZWE,ZWE.5_1,ZWE.5.8_1,2788.58531665841,129724,46.51964536464302
ZWE,ZWE.5_1,ZWE.5.9_1,2723.4275959580336,82193,30.17998353324556
ZWE,ZWE.6_1,ZWE.6.1_1,5625.712471529669,320011,56.88363947135515
ZWE,ZWE.6_1,ZWE.6.2_1,20565.51680110357,421184,20.4801077489771
ZWE,ZWE.6_1,ZWE.6.3_1,9769.622014694496,364776,37.33778025918916
ZWE,ZWE.6_1,ZWE.6.4_1,8481.63960934927,77994,9.195627684301465
ZWE,ZWE.6_1,ZWE.6.5_1,9173.089071025142,272996,29.760530818599282
ZWE,ZWE.6_1,ZWE.6.6_1,6377.652089359149,314200,49.265779255069404
ZWE,ZWE.7_1,ZWE.7.1_1,5519.18286321216,179183,32.46549433872456
ZWE,ZWE.7_1,ZWE.7.2_1,18808.241872506485,336092,17.86940014267323
ZWE,ZWE.7_1,ZWE.7.3_1,3792.417784521243,181707,47.91323380605304
ZWE,ZWE.7_1,ZWE.7.4_1,7517.513065967498,222860,29.64544232173118
ZWE,ZWE.7_1,ZWE.7.5_1,7349.285184097811,329200,44.79347198450188
ZWE,ZWE.7_1,ZWE.7.6_1,13778.815326061782,183530,13.319722752424463
ZWE,ZWE.7_1,ZWE.7.7_1,3301.3271172379423,198559,60.145206139440226
ZWE,ZWE.8_1,ZWE.8.1_1,13878.86555875813,145768,10.502875712922693
